41.895,-87.635,106,51,48.113
41.907,-87.656,464,223,48.060
42.060,-87.720,83,38,45.783
41.889,-87.688,1412,590,41.785
41.880,-87.635,3423,1278,37.336
41.769,-87.645,58,21,36.207
41.888,-87.637,84,30,35.714
41.947,-87.740,164,58,35.366
41.904,-87.643,51,18,35.294
41.883,-87.637,2647,927,35.021
41.774,-87.594,60,21,35.000
41.898,-87.643,4508,1544,34.250
41.882,-87.640,7016,2393,34.108
41.892,-87.627,65,22,33.846
41.885,-87.687,131,44,33.588
41.884,-87.696,318,106,33.333
41.752,-87.552,87,29,33.333
41.903,-87.635,169,56,33.136
41.879,-87.640,4757,1565,32.899
41.819,-87.694,177,58,32.768
41.920,-87.760,58,19,32.759
41.935,-87.784,55,18,32.727
41.869,-87.674,853,276,32.356
41.887,-87.702,99,32,32.323
41.883,-87.640,2193,707,32.239
41.949,-87.740,75,24,32.000
41.883,-87.635,1198,381,31.803
41.793,-87.724,60,19,31.667
41.794,-87.711,89,28,31.461
41.916,-87.667,3133,982,31.344
41.888,-87.636,5775,1805,31.255
41.883,-87.641,11710,3660,31.255
41.890,-87.656,93,29,31.183
41.899,-87.716,55,17,30.909
41.871,-87.694,149,46,30.872
41.878,-87.640,2368,726,30.659
41.900,-87.650,981,295,30.071
41.990,-87.690,97,29,29.897
41.892,-87.662,629,188,29.889
41.882,-87.634,731,217,29.685
41.914,-87.699,479,142,29.645
41.880,-87.640,7633,2259,29.595
41.939,-87.737,142,42,29.577
41.992,-87.675,993,293,29.507
41.918,-87.758,95,28,29.474
42.050,-87.700,89,26,29.213
41.878,-87.641,5223,1519,29.083
41.801,-87.585,62,18,29.032
41.890,-87.703,107,31,28.972
41.790,-87.703,295,85,28.814
41.887,-87.659,1163,334,28.719
41.890,-87.640,5799,1663,28.677
41.900,-87.642,450,129,28.667
41.876,-87.641,1755,502,28.604
41.880,-87.655,182,52,28.571
41.894,-87.642,4670,1332,28.522
41.889,-87.638,593,169,28.499
41.865,-87.667,676,192,28.402
41.968,-87.674,4109,1167,28.401
41.882,-87.630,71,20,28.169
41.890,-87.710,128,36,28.125
41.975,-87.698,140,39,27.857
42.040,-87.699,298,83,27.852
42.017,-87.678,155,43,27.742
41.882,-87.641,58,16,27.586
41.859,-87.718,58,16,27.586
41.799,-87.592,69,19,27.536
41.887,-87.660,720,198,27.500
41.900,-87.640,2988,820,27.443
41.886,-87.642,4235,1158,27.344
41.820,-87.690,88,24,27.273
